city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_ce,precipitation_amt_mm,precipitation_ground_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,14.0,0.13,0.12,0.2,0.19,-6.88,0.0,7.54,297.69,297.86,292.78,299.9,295.5,5.9,74.21,0.0,14.23,2.69,25.09,7.46,29.4,20.6,2.9,11
sj,15.0,0.06,0.07,0.22,0.2,-1.07,6.65,36.0,296.6,296.64,291.84,300.7,294.3,18.73,74.85,6.65,13.49,2.39,25.36,5.61,31.1,21.7,0.6,11
sj,16.0,0.03,0.05,0.21,0.24,0.17,0.0,39.89,297.18,297.46,291.67,299.6,295.1,7.5,71.56,0.0,13.35,2.79,25.9,7.93,31.7,20.0,0.8,19
sj,17.0,0.04,0.02,0.2,0.22,3.97,0.0,28.01,298.82,299.05,294.1,301.7,296.7,16.2,75.42,0.0,15.5,3.84,27.67,9.61,34.4,21.1,0.0,10
sj,18.0,-0.0,0.01,0.2,0.19,2.77,5.73,24.07,299.2,299.39,294.82,301.7,296.7,4.0,76.95,5.73,16.17,3.46,27.77,8.27,33.9,22.8,0.5,8
sj,19.0,-0.06,0.03,0.17,0.13,2.08,0.0,14.09,299.35,299.51,294.73,301.1,297.8,1.5,75.88,0.0,16.08,2.7,27.93,8.43,33.9,23.3,0.3,8
sj,20.0,0.1,0.07,0.12,0.13,3.77,33.03,51.02,298.85,298.99,294.8,301.4,297.1,27.3,78.54,33.03,16.14,2.54,27.57,8.67,32.8,22.2,12.6,9
sj,21.0,0.08,0.11,0.16,0.1,5.54,0.0,1.86,299.24,299.39,294.66,301.1,297.8,10.1,75.98,0.0,16.0,2.43,27.59,7.09,32.2,23.9,12.9,3
sj,22.0,0.02,0.06,0.21,0.15,3.66,64.1,81.17,299.28,299.44,295.26,301.4,297.7,10.5,78.71,64.1,16.66,2.67,27.31,7.03,31.7,22.8,30.5,7
sj,23.0,0.06,0.09,0.18,0.16,-8.536,118.35,148.8,299.0,299.04,295.98,300.6,297.9,41.7,83.49,118.35,17.37,1.97,27.27,7.07,32.8,22.2,31.3,14
sj,24.0,0.12,0.09,0.15,0.19,0.98,0.0,11.22,300.0,300.26,296.17,302.3,298.2,9.9,79.75,0.0,17.62,2.87,28.6,7.0,32.8,23.9,0.3,4
sj,25.0,0.01,0.05,0.17,0.22,2.02,2.43,23.65,300.37,300.6,296.41,302.6,298.0,7.8,79.36,2.43,17.85,2.91,29.01,7.51,33.9,23.9,0.5,9
sj,26.0,0.07,0.08,0.13,0.14,2.43,34.69,62.47,300.04,300.09,296.32,302.0,298.4,23.4,80.25,34.69,17.73,2.19,28.66,6.69,32.8,23.9,18.6,14
sj,27.0,0.1,0.09,0.19,0.2,5.96,38.84,50.53,300.3,300.51,296.24,302.3,298.3,24.3,78.64,38.84,17.64,2.91,28.41,6.43,32.2,24.4,4.1,7
sj,28.0,0.09,0.07,0.14,0.11,5.0,5.87,23.27,300.49,300.64,296.42,302.3,299.0,21.3,78.62,5.87,17.85,2.43,29.01,7.54,33.9,23.9,8.7,9
sj,29.0,-0.06,0.01,0.16,0.17,1.51,24.42,37.15,300.09,300.17,296.51,302.2,298.1,35.4,80.92,24.42,17.95,2.54,28.61,6.74,32.8,24.4,40.9,3
sj,30.0,-0.16,0.12,0.16,0.15,1.79,41.34,60.02,299.96,299.94,296.6,302.7,298.2,73.74,82.13,41.34,18.05,1.77,27.9,6.29,31.7,23.3,51.2,3
sj,31.0,0.14,0.08,0.25,0.19,-0.32,29.9,53.42,300.12,300.21,296.22,302.4,297.8,33.6,79.45,29.9,17.62,2.74,27.83,6.6,31.7,22.8,16.3,14
sj,32.0,0.1,0.1,0.14,0.11,0.97,19.57,51.25,300.29,300.41,296.74,302.5,297.8,28.6,81.1,19.57,18.18,2.51,28.64,5.94,32.2,25.0,5.2,12
sj,33.0,0.01,0.05,0.14,0.16,-4.72,57.65,80.23,299.84,299.99,296.57,301.9,298.1,42.79,82.39,57.65,17.99,2.47,28.29,6.61,32.8,23.9,53.4,10
sj,34.0,0.13,0.11,0.17,0.14,-3.48,20.35,56.98,299.76,299.8,296.66,301.8,298.2,45.7,83.28,20.35,18.09,2.03,28.41,6.51,32.2,24.4,52.3,21
sj,35.0,0.06,0.09,0.19,0.21,6.05,94.72,150.67,300.27,300.34,296.7,302.5,298.8,35.9,81.14,94.72,18.18,2.1,27.99,6.44,32.2,22.8,50.0,26
sj,36.0,0.11,0.12,0.21,0.17,4.54,8.83,99.25,300.14,300.12,296.8,302.0,298.5,35.9,82.22,8.83,18.31,2.07,28.73,6.59,32.8,25.0,17.0,47
sj,37.0,0.03,0.08,0.2,0.18,7.78,11.47,101.92,300.55,300.72,297.41,302.6,298.9,46.4,83.16,11.47,19.04,2.59,28.96,6.13,32.8,24.4,15.8,42
sj,38.0,-0.05,0.02,0.2,0.19,4.26,86.14,143.73,300.68,300.81,297.25,303.6,299.0,36.89,81.81,86.14,18.83,2.59,28.9,6.67,34.4,25.0,18.1,31
sj,39.0,0.12,0.1,0.14,0.14,4.74,13.18,82.08,300.42,300.51,296.39,302.6,298.0,39.6,78.78,13.18,17.83,2.4,28.4,6.74,32.2,23.9,25.4,34
sj,40.0,0.11,0.11,0.2,0.14,9.39,46.15,108.5,300.13,300.21,297.27,302.6,298.7,39.0,84.44,46.15,18.81,2.13,27.59,6.76,32.2,21.7,31.2,33
sj,41.0,0.0,0.1,0.09,0.1,4.54,70.29,173.21,300.56,300.74,296.79,303.2,298.5,26.0,80.08,70.29,18.31,2.64,28.5,7.3,33.3,23.3,44.4,52
sj,42.0,-0.02,0.08,0.2,0.21,7.92,99.33,216.78,299.48,299.44,296.44,302.9,297.6,182.0,83.58,99.33,17.93,1.84,27.36,6.43,31.1,22.8,6.3,56
sj,43.0,0.13,0.2,0.32,0.29,17.71,80.85,220.74,299.61,299.84,296.3,302.3,296.4,27.34,82.23,80.85,17.82,3.34,27.7,5.89,32.8,23.9,8.7,70
sj,44.0,0.13,0.17,0.3,0.21,17.0,0.78,233.02,300.38,300.55,296.1,302.3,298.1,7.27,77.53,0.78,17.55,2.7,28.39,5.81,32.8,24.4,0.0,112
sj,45.0,0.08,0.12,0.2,0.18,9.2,2.08,138.1,300.03,300.09,295.7,301.9,298.6,9.5,77.31,2.08,17.1,2.04,27.74,6.11,31.1,23.9,27.1,70
sj,46.0,0.07,0.12,0.15,0.1,3.22,18.83,115.42,299.69,299.79,295.35,302.6,297.9,9.0,77.16,18.83,16.76,2.24,27.34,7.4,32.8,22.8,34.6,47
sj,47.0,0.13,-0.1,0.2,0.15,11.15,50.55,147.98,299.49,299.53,296.31,301.8,298.0,40.5,82.77,50.55,17.74,1.8,27.33,6.0,31.1,23.9,6.1,48
sj,48.0,0.22,0.16,0.17,0.21,13.65,4.76,102.34,299.62,299.7,296.34,301.9,297.9,42.9,82.27,4.76,17.77,2.2,27.26,5.67,30.6,23.9,81.8,49
sj,49.0,0.06,0.07,0.35,0.31,17.55,3.01,135.57,299.46,299.51,295.58,301.3,298.2,14.7,79.4,3.01,17.0,1.87,26.67,6.61,31.7,23.3,39.9,66
sj,50.0,0.13,-0.04,0.23,0.24,13.25,0.0,115.18,300.13,300.35,295.15,302.0,298.8,0.6,74.28,0.0,16.53,2.67,26.76,8.26,32.2,21.7,0.0,56
sj,51.0,0.13,0.0,0.26,0.23,13.61,0.0,120.72,299.64,299.66,294.8,301.6,298.1,3.9,74.8,0.0,16.15,2.47,26.57,7.3,32.2,22.2,1.5,61
sj,52.0,0.07,0.08,0.21,0.23,7.6,22.52,156.89,299.21,299.29,295.35,301.7,297.6,16.3,79.47,22.52,16.7,2.57,26.71,7.57,31.7,22.2,17.3,67
sj,1.0,0.05,0.05,0.12,0.08,7.13,38.34,56.98,298.65,299.29,295.64,302.4,296.2,27.24,80.3,38.34,17.09,2.86,27.41,7.3,32.8,22.2,23.85,64
sj,2.0,0.05,0.03,0.22,0.13,12.41,10.59,145.3,298.83,298.99,295.03,300.7,297.2,44.4,79.63,10.59,16.36,2.16,26.36,6.14,31.7,22.8,33.3,68
sj,3.0,-0.02,-0.01,0.2,0.2,3.92,106.97,210.09,297.61,297.69,294.85,300.2,296.4,53.2,84.69,106.97,16.21,1.89,24.89,5.86,29.4,20.6,152.4,49
sj,4.0,0.18,0.03,0.25,0.19,6.23,0.0,92.0,298.61,298.8,294.51,300.6,296.8,8.4,78.18,0.0,15.88,2.4,25.61,6.49,29.4,21.1,4.8,50
sj,5.0,0.13,0.05,0.15,0.13,22.81,7.72,122.75,298.69,298.86,294.19,300.6,297.0,16.3,76.26,7.72,15.56,2.34,26.54,7.26,31.1,22.2,1.3,56
sj,6.0,-0.05,-0.05,0.13,0.1,11.18,0.0,153.28,298.58,298.81,293.97,301.3,296.6,8.6,75.78,0.0,15.36,3.27,26.59,8.11,31.7,21.1,0.0,75
sj,7.0,0.12,0.06,0.18,0.18,12.15,142.6,262.11,299.06,299.25,295.63,302.2,296.7,18.5,81.61,142.6,17.09,2.96,27.26,6.9,32.2,22.8,79.2,63
sj,8.0,0.13,0.08,0.24,0.24,9.47,0.0,131.15,297.59,297.84,291.9,300.2,296.2,3.1,70.7,0.0,13.51,2.24,24.41,6.09,28.9,20.0,8.7,62
sj,9.0,0.15,0.08,0.24,0.15,14.8,0.0,81.18,298.89,299.13,294.11,300.6,297.8,1.1,75.02,0.0,15.48,2.29,26.27,7.94,31.1,21.1,6.4,41
sj,10.0,0.06,0.1,0.17,0.16,8.03,0.0,107.32,297.66,297.79,293.5,301.1,295.0,10.3,77.92,0.0,14.94,2.84,25.61,7.26,32.2,21.1,7.0,50
sj,11.0,0.13,0.08,0.14,0.16,9.66,0.0,73.26,298.28,298.39,294.7,301.2,295.7,42.78,80.78,0.0,16.08,2.23,25.81,6.9,32.2,21.1,15.1,34
sj,12.0,0.06,0.09,0.21,0.21,12.46,0.0,59.54,298.18,298.37,292.91,300.4,296.2,0.6,72.64,0.0,14.37,2.51,24.89,7.01,28.9,20.6,27.7,31
sj,13.0,0.13,0.07,0.19,0.17,7.07,0.0,74.14,298.5,298.66,294.1,300.7,296.5,21.0,76.68,0.0,15.48,2.56,26.23,6.9,31.1,22.2,16.5,38
sj,14.0,0.07,0.03,0.15,0.13,2.84,72.98,131.04,298.04,298.19,294.63,301.1,296.5,41.2,81.41,72.98,16.0,2.53,25.71,6.2,31.7,21.7,15.5,30
sj,15.0,0.05,0.07,0.1,0.1,7.07,12.01,75.87,297.87,298.2,294.22,300.8,295.6,19.0,80.19,12.01,15.64,3.0,26.03,6.36,31.7,21.7,10.7,32
sj,16.0,0.03,0.08,0.11,0.13,2.22,0.0,59.23,298.47,298.58,294.97,300.7,296.5,23.9,81.15,0.0,16.4,2.16,26.93,6.11,33.9,22.2,7.9,26
sj,17.0,0.07,0.09,0.14,0.15,5.7,22.22,84.86,297.74,297.79,293.54,299.8,296.2,24.3,77.71,22.22,15.01,2.16,25.6,5.86,29.4,21.7,73.4,30
sj,18.0,0.11,0.05,0.22,0.21,10.52,71.64,137.47,299.57,299.84,295.83,301.5,298.2,11.7,80.07,71.64,17.23,2.36,26.87,6.9,31.1,22.8,16.3,36
sj,19.0,0.13,0.1,0.16,0.12,5.97,0.0,66.65,299.13,299.29,294.83,301.3,297.7,17.6,77.33,0.0,16.22,2.19,26.79,6.2,31.1,22.2,6.9,35
sj,20.0,0.13,0.04,0.13,0.1,11.11,55.76,149.03,299.2,299.4,295.11,302.9,296.6,10.3,78.4,55.76,16.5,3.63,27.14,7.01,33.9,22.2,7.1,46
sj,21.0,-0.0,0.03,0.16,0.17,-0.82,56.4,144.22,300.02,300.09,297.06,302.9,297.8,53.7,84.07,56.4,18.61,2.83,27.91,6.97,34.4,23.3,59.1,48
sj,22.0,0.05,0.04,0.16,0.16,9.44,15.86,99.76,299.84,299.94,297.02,302.3,298.4,59.4,84.64,15.86,18.51,2.19,27.97,5.66,31.1,24.4,13.8,44
sj,23.0,-0.04,0.07,0.15,0.12,1.43,8.19,100.92,299.62,299.81,296.35,301.4,298.1,35.8,82.46,8.19,17.77,2.33,27.86,6.2,32.2,23.9,10.5,51
sj,24.0,0.12,0.12,0.24,0.28,7.53,86.21,204.57,300.76,300.84,297.45,302.7,299.2,20.7,82.31,86.21,18.99,2.43,28.43,6.99,32.8,23.9,38.6,59
sj,25.0,0.07,0.05,0.21,0.18,12.08,49.52,188.2,300.52,300.56,296.44,303.0,298.9,15.4,78.53,49.52,17.85,2.39,28.1,6.53,32.8,23.9,23.4,71
sj,26.0,0.04,0.02,0.14,0.15,1.18,72.08,269.86,299.94,299.95,297.0,302.3,298.3,71.33,84.03,72.08,18.47,2.36,28.21,6.74,32.2,23.9,20.6,102
sj,27.0,0.07,0.1,0.17,0.16,17.68,20.06,283.15,300.6,300.72,296.85,302.7,299.0,33.31,80.09,20.06,18.28,2.3,28.61,5.86,32.2,25.0,0.0,128
sj,28.0,-0.03,0.06,0.19,0.17,14.58,54.05,306.34,300.45,300.44,296.92,302.9,298.5,45.31,81.29,54.05,18.39,2.3,28.39,6.74,32.8,22.8,11.7,127
sj,29.0,0.03,0.05,0.08,0.07,25.67,10.42,310.04,300.34,300.46,296.29,302.8,298.1,30.86,78.99,10.42,17.72,2.71,28.39,7.07,33.3,23.9,62.5,150
sj,30.0,0.06,0.11,0.18,0.16,35.06850000000009,68.74,453.85,299.82,299.89,296.5,302.2,298.1,93.68,82.21,68.74,17.95,1.89,27.56,6.69,31.7,23.9,81.9,191
sj,31.0,0.14,0.13,0.27,0.25,34.2,16.03,514.2900000000012,300.06,300.04,297.04,302.0,298.5,107.87,83.74,16.03,18.55,2.04,28.27,5.73,31.7,23.9,20.5,236
sj,32.0,0.03,0.06,0.18,0.15,35.06850000000009,25.79,514.2900000000012,300.66,300.89,297.13,303.2,298.6,27.7,81.22,25.79,18.63,2.91,28.46,6.19,32.2,24.4,6.2,236
sj,33.0,0.05,0.09,0.19,0.17,33.46,38.44,514.2900000000012,300.67,300.62,297.46,303.1,298.9,55.9,82.8,38.44,19.02,2.27,29.07,6.34,32.8,24.4,3.8,236
sj,34.0,0.11,0.06,0.18,0.17,35.06850000000009,24.34,458.81,300.37,300.35,297.47,303.0,298.9,63.2,84.2,24.34,19.01,1.73,29.21,6.41,32.8,25.0,20.4,220
sj,35.0,0.03,0.08,0.15,0.19,28.35,96.58,502.14,300.47,300.58,297.4,303.1,298.7,98.3,83.45,96.58,19.03,2.67,28.04,6.83,33.9,23.3,146.4,204
sj,36.0,0.04,0.05,0.16,0.15,29.17,47.74,408.64,300.69,300.71,297.33,303.4,298.4,52.5,82.19,47.74,18.91,2.9,28.76,7.13,33.9,22.8,27.4,181
sj,37.0,0.07,0.06,0.15,0.12,11.07,72.73,268.69,300.15,300.2,297.16,302.0,298.7,73.6,84.0,72.73,18.72,2.03,28.33,6.84,32.2,24.4,61.3,99
sj,38.0,0.13,0.04,0.16,0.14,14.8,35.03,142.73,300.59,300.61,297.28,303.0,298.8,33.83,82.33,35.03,18.85,2.19,28.73,6.99,34.4,24.4,39.7,54
sj,39.0,0.05,0.05,0.23,0.21,14.91,82.87,248.12,300.13,300.19,297.06,302.1,298.8,55.8,83.33,82.87,18.58,1.86,27.77,6.23,32.2,24.4,123.6,80
sj,40.0,-0.0,0.04,0.16,0.17,10.52,180.49650000000017,429.74,300.6,300.76,296.54,302.9,298.5,124.4,78.78,180.49650000000017,18.06,2.8,27.91,6.29,32.8,23.9,24.7,102
sj,41.0,0.13,-0.02,0.16,0.15,22.54,33.26,288.9,300.71,300.74,296.92,302.9,298.9,28.3,80.0,33.26,18.42,2.34,28.26,5.5,31.7,24.4,25.0,127
sj,42.0,0.13,0.08,0.19,0.14,1.34,25.94,181.38,300.8,300.86,296.61,302.9,299.3,18.5,78.1,25.94,18.09,2.69,27.76,6.31,31.7,23.3,15.5,73
sj,43.0,0.02,0.08,0.2,0.2,10.41,32.09,164.89,300.25,300.24,296.9,301.9,298.8,36.5,82.04,32.09,18.41,2.13,28.16,6.93,33.9,23.9,26.7,68
sj,44.0,-0.04,-0.07,0.11,0.09,14.85,180.49650000000017,308.97,299.85,299.99,296.87,302.1,297.7,92.4,83.87,180.49650000000017,18.38,2.09,27.71,6.13,32.8,23.3,54.6,64
sj,45.0,0.13,-0.0,0.22,0.17,4.64,121.65,237.77,299.65,299.69,296.94,301.7,298.5,89.5,85.12,121.65,18.48,1.79,27.43,6.46,31.1,23.3,81.5,55
sj,46.0,0.0,-0.06,0.19,0.1,12.53,18.07,153.94,300.0,300.05,296.42,302.4,297.9,36.1,80.91,18.07,17.87,2.07,27.79,6.67,32.8,23.3,8.7,67
sj,47.0,0.13,0.12,0.25,0.22,15.28,110.03,279.19,298.68,298.66,296.18,300.3,297.3,143.4,86.21,110.03,17.63,1.7,26.73,6.21,30.6,23.3,71.3,84
sj,48.0,0.05,0.07,0.17,0.15,16.03,0.0,175.77,299.23,299.32,295.49,301.4,297.4,57.1,80.02,0.0,16.87,2.01,26.56,5.69,30.0,22.8,29.8,85
sj,49.0,0.06,0.07,0.07,0.05,16.24,22.35,157.7,298.3,298.26,295.17,300.4,296.5,115.77,83.02,22.35,16.59,1.89,25.64,5.94,29.4,22.2,48.2,67
sj,50.0,0.06,0.0,0.21,0.17,6.53,152.94,305.85,298.09,298.15,295.54,299.8,297.1,158.72,85.91,152.94,16.97,1.7,25.81,5.01,28.9,22.8,97.6,73
sj,51.0,-0.08,-0.09,0.24,0.17,12.25,16.76,189.32,299.04,299.1,295.03,300.9,297.6,10.2,78.67,16.76,16.41,1.97,26.07,5.54,31.1,22.8,18.9,89
sj,52.0,0.06,-0.13,0.16,0.1,12.36,0.0,141.01,299.28,299.44,295.22,301.4,298.0,12.8,78.42,0.0,16.56,2.13,25.93,6.04,30.0,22.2,29.7,68
sj,52.0,0.13,0.12,0.2,0.19,5.85,38.34,56.98,298.65,299.29,295.64,302.4,296.2,27.24,80.3,38.34,17.09,2.86,27.41,7.3,32.8,22.2,23.85,59
sj,1.0,0.13,-0.09,0.19,0.16,5.61,45.39,161.67,298.7,298.81,295.1,300.7,297.3,17.72,80.6,45.39,16.45,2.43,25.57,5.47,28.9,22.2,16.2,56
sj,2.0,-0.14,-0.04,0.18,0.14,22.01,0.0,156.47,298.48,298.55,294.12,300.1,297.4,12.6,76.95,0.0,15.49,1.7,25.07,5.73,28.3,20.0,20.6,77
sj,3.0,-0.07,-0.04,0.18,0.12,7.61,47.16,197.91,297.86,297.97,294.41,300.0,296.1,20.62,81.31,47.16,15.77,2.2,24.99,6.89,30.0,21.1,27.2,75
sj,4.0,0.05,-0.11,0.18,0.14,3.86,0.0,97.06,297.44,297.57,293.7,299.1,295.8,40.75,79.67,0.0,15.07,1.77,24.89,6.41,28.3,21.1,8.6,47
sj,5.0,0.13,0.05,0.22,0.17,9.64,0.0,104.58,296.77,296.76,290.98650000000004,299.3,294.5,14.9,70.2,0.0,12.778500000000001,2.0,24.181,5.64,27.8,19.4,18.0,50
sj,6.0,0.07,0.12,0.23,0.21,5.15,0.0,77.31,296.67,296.79,290.98650000000004,298.9,295.3,4.7,68.684,0.0,12.778500000000001,1.91,24.181,7.39,27.8,17.8,2.9,42
sj,7.0,0.03,0.04,0.17,0.19,7.06,18.66,77.74,297.22,297.44,292.73,299.4,295.5,18.64,76.25,18.66,14.23,2.57,24.33,7.51,29.4,19.4,24.8,28
sj,8.0,0.13,0.09,0.12,0.13,3.97,23.9,87.84,295.94,296.36,290.98650000000004,299.7,293.7,8.7,72.25,23.9,12.778500000000001,2.71,24.181,6.9,28.9,18.9,0.0,37
sj,9.0,-0.05,0.04,0.2,0.16,7.05,0.0,67.76,297.54,297.68,293.31,299.7,295.3,8.3,77.43,0.0,14.73,2.79,25.0,7.43,29.4,20.6,40.1,37
sj,10.0,-0.07,0.04,0.16,0.23,0.17,0.0,48.1,297.88,298.07,292.42,299.7,296.0,0.6,71.69,0.0,13.94,2.49,24.96,7.51,29.4,20.6,0.0,27
sj,11.0,-0.1,0.04,0.26,0.28,-5.64,5.5,26.82,297.54,297.8,292.76,300.0,295.8,5.5,74.8,5.5,14.24,3.0,24.89,7.34,31.1,20.6,8.4,12
sj,12.0,0.14,0.03,0.2,0.18,1.25,5.24,35.04,298.22,298.45,293.23,300.5,296.3,3.1,73.94,5.24,14.67,2.84,25.67,7.67,30.6,21.1,0.0,15
sj,13.0,0.05,-0.1,0.16,0.14,-0.67,15.91,63.36,298.31,298.41,294.38,300.4,296.1,8.9,78.91,15.91,15.73,2.31,25.74,6.9,30.6,21.7,7.9,22
sj,14.0,0.13,0.0,0.2,0.21,5.27,18.76,31.63,297.98,298.09,293.27,300.1,295.7,16.2,75.39,18.76,14.75,2.59,25.61,6.03,29.4,21.1,30.8,8
sj,15.0,0.03,0.04,0.1,0.1,4.53,75.59,102.81,297.48,297.64,292.41,301.0,295.2,12.76,73.64,75.59,13.97,3.6,25.39,6.67,30.0,21.1,19.8,15
sj,16.0,0.09,0.04,0.19,0.12,7.76,0.0,30.73,299.25,299.46,294.52,301.4,296.7,2.0,75.39,0.0,15.87,3.2,26.91,7.49,32.2,22.8,9.2,17
sj,17.0,0.07,0.03,0.19,0.14,5.08,10.2,35.11,299.04,299.15,294.2,301.0,297.2,5.35,74.8,10.2,15.56,2.73,26.69,7.39,31.7,22.2,4.1,10
sj,18.0,0.06,0.05,0.17,0.19,6.04,88.2,107.59,299.43,299.5,295.42,301.8,298.0,13.3,78.68,88.2,16.8,2.09,28.23,9.21,33.9,22.2,0.5,9
sj,19.0,0.13,0.06,0.08,0.08,1.76,46.5,61.57,299.1,299.12,294.57,301.0,297.2,14.28,76.31,46.5,15.97,2.59,26.96,7.63,32.8,21.7,73.1,11
sj,20.0,0.13,0.09,0.19,0.17,0.69,33.82,72.85,299.78,299.94,295.27,302.6,297.0,22.1,76.6,33.82,16.65,3.19,27.83,7.33,33.3,23.3,14.3,20
sj,21.0,0.13,0.07,0.18,0.17,4.79,15.26,39.1,300.05,300.16,296.21,302.4,298.6,18.64,79.72,15.26,17.64,2.21,28.39,6.74,33.3,24.4,8.2,13
sj,22.0,0.04,-0.01,0.12,0.09,-6.36,2.16,23.89,300.59,300.67,296.24,302.7,298.4,6.6,77.37,2.16,17.64,3.26,28.41,6.57,33.3,23.9,5.9,11
sj,23.0,0.05,0.05,0.07,0.08,1.46,100.35,125.28,300.03,299.98,296.43,302.0,298.3,24.8,80.75,100.35,17.85,2.5,27.91,7.56,33.9,22.8,56.8,16
sj,24.0,0.13,0.07,0.12,0.1,4.77,115.14,141.0,300.35,300.38,296.54,302.3,298.7,30.1,79.75,115.14,17.98,2.39,27.7,6.84,31.7,23.9,17.6,11
sj,25.0,0.13,0.01,0.08,0.14,-0.34,96.93,113.12,299.37,299.31,296.42,301.6,297.9,81.61,83.96,96.93,17.84,1.94,27.21,5.89,31.1,22.8,60.6,7
sj,26.0,0.13,0.06,0.16,0.13,7.71,17.32,52.15,300.15,300.26,296.62,302.4,298.3,25.74,81.25,17.32,18.05,2.34,28.44,5.33,31.7,25.0,5.4,17
sj,27.0,0.1,0.09,0.18,0.18,-2.1,73.3,106.03,299.5,299.54,295.92,301.4,297.8,55.1,80.8,73.3,17.3,2.36,27.4,5.73,31.1,22.8,36.6,14
sj,28.0,0.05,0.07,0.13,0.1,7.01,29.53,66.08,299.79,299.84,296.39,302.4,297.5,58.2,81.85,29.53,17.8,2.5,27.27,6.67,32.8,23.3,17.5,13
sj,29.0,0.12,0.05,0.21,0.19,-2.38,96.36,129.43,299.85,299.86,296.86,301.9,298.5,66.52,83.92,96.36,18.32,2.0,26.7,5.47,31.1,21.7,56.2,15
sj,30.0,0.01,0.09,0.3,0.18,10.34,8.53,70.05,300.06,300.15,296.47,302.6,298.0,32.44,80.97,8.53,17.9,2.47,28.1,6.53,32.8,23.9,19.9,30
sj,31.0,-0.07,0.02,0.16,0.17,3.74,22.01,73.61,300.5,300.49,297.05,302.8,298.8,29.35,81.67,22.01,18.56,2.43,28.37,6.27,32.8,22.8,18.8,25
sj,32.0,0.13,0.11,0.21,0.17,5.85,44.23,116.53,299.97,300.01,296.74,302.6,298.4,61.7,82.65,44.23,18.21,1.84,28.09,6.36,31.7,23.9,26.7,40
sj,33.0,0.01,0.07,0.2,0.17,0.98,31.78,112.42,300.33,300.29,296.86,302.4,298.9,46.2,81.39,31.78,18.33,2.03,28.37,6.36,31.7,25.0,10.0,44
sj,34.0,-0.01,0.04,0.17,0.15,3.15,133.65,182.21,300.23,300.29,296.86,302.8,298.7,61.8,82.0,133.65,18.36,2.14,27.86,6.84,33.9,23.9,78.5,25
sj,35.0,0.13,-0.03,0.21,0.19,2.61,30.98,67.02,300.46,300.44,296.9,302.7,299.1,25.74,81.0,30.98,18.41,1.99,28.19,7.03,32.8,23.9,69.7,21
sj,36.0,0.09,0.06,0.09,0.1,5.25,66.06,164.09,300.58,300.62,296.8,302.8,298.8,40.7,79.97,66.06,18.31,2.21,28.3,6.04,31.7,25.0,32.5,48
sj,37.0,-0.01,0.07,0.16,0.13,10.84,121.24,233.66,300.96,301.02,297.08,303.2,299.3,34.13,79.7,121.24,18.71,2.16,28.41,6.84,33.9,24.4,35.1,56
sj,38.0,0.08,0.07,0.14,0.1,11.2,44.44,167.48,300.57,300.62,296.7,302.8,298.3,30.4,79.39,44.44,18.21,2.7,28.46,6.6,32.2,24.4,31.3,60
sj,39.0,0.05,0.04,0.17,0.16,5.5,62.41,152.53,300.64,300.64,296.82,303.5,298.9,64.72,79.84,62.41,18.35,2.21,28.71,7.96,34.4,23.9,38.9,45
sj,40.0,0.13,0.01,0.21,0.14,-2.09,52.34,153.3,300.5,300.6,296.66,302.5,298.5,22.37,79.67,52.34,18.12,1.94,28.0,6.99,32.8,23.3,16.2,55
sj,41.0,-0.09,0.13,0.09,0.06,7.91,45.32,111.1,299.83,299.84,295.87,301.7,298.5,41.31,79.16,45.32,17.3,1.96,27.17,6.44,31.1,23.3,27.8,32
sj,42.0,0.13,-0.04,0.06,0.05,-2.94,171.59,259.88,300.03,300.01,296.82,301.6,298.7,40.8,82.66,171.59,18.32,1.86,26.76,5.04,31.1,23.9,71.5,46
sj,43.0,0.13,0.01,0.18,0.07,8.69,67.94,184.27,299.8,300.04,297.13,301.9,298.7,138.1,85.38,67.94,18.74,2.19,27.67,6.3,32.2,23.3,58.4,61
sj,44.0,0.06,0.1,0.17,0.17,2.07,4.84,86.45,299.96,299.94,296.53,302.0,298.0,24.52,81.63,4.84,18.01,1.89,27.44,6.54,32.2,23.9,40.9,42
sj,45.0,0.12,0.1,0.09,0.09,12.32,20.03,98.38,299.3,299.38,295.87,301.0,298.0,53.27,81.49,20.03,17.3,2.04,26.89,5.86,30.6,23.9,37.1,37
sj,46.0,-0.05,0.07,0.06,0.05,2.58,83.66,164.18,298.97,299.08,296.33,301.3,298.0,104.51,85.4,83.66,17.82,1.81,26.71,5.8,30.6,22.8,62.1,43
sj,47.0,0.0,0.07,0.11,0.09,5.9,180.49650000000017,292.78,298.73,298.88,296.29,300.8,297.1,140.2,86.41,180.49650000000017,17.87,1.9,26.6,4.8355,31.7,23.3,88.9,34
sj,48.0,0.15,0.1,0.11,0.1,-4.63,2.11,83.72,298.78,299.06,294.78,301.0,296.8,8.7,78.68,2.11,16.21,3.26,26.1,7.47,30.6,21.1,13.2,40
